Carbon_kit,Carbon_lab,Nitrogene,Ph,Image_Number
0.804878,0.82512,0.098,6.88,1.jpg
0.570732,0.594216,0.07,7,2.jpg
0.278049,0.29699,0.031,7.1,3.jpg
1.2,1.265482,0.155,6.57,4.jpg
0.702439,0.722671,0.087,6.91,5.jpg
1.317073,1.276732,0.133,6.63,6.jpg
0.35122,0.371582,0.039,7.08,7.jpg
0.614634,0.651028,0.083,6.84,8.jpg
0.819512,0.860479,0.1,6.77,9.jpg
0.6,0.633323,0.073,6.84,10.jpg
0.35122,0.363492,0.04,7.04,11.jpg
0.878049,0.904672,0.092,6.69,12.jpg
0.980488,1.015147,0.117,6.56,13.jpg
1.756098,1.741024,0.226,6.23,14.jpg
1.046512,1.094591,0.127,6.46,15.jpg
0.32093,0.324857,0.036,7,16.jpg
0.362791,0.380469,0.037,7.03,17.jpg
0.418605,0.438206,0.045,6.98,18.jpg
0.348837,0.337343,0.038,7.1,19.jpg
0.195349,0.208271,0.023,7.16,20.jpg
0.502326,0.528563,0.06,6.92,21.jpg
0.795349,0.839731,0.104,6.7,22.jpg
0.697674,0.726828,0.092,6.83,23.jpg
0.669767,0.70535,0.085,6.87,24.jpg
0.697674,0.679022,0.09,6.91,25.jpg
0.6,0.633411,0.072,6.85,26.jpg
0.293023,0.308291,0.035,7.04,27.jpg
0.460465,0.480989,0.056,6.96,28.jpg
0.669767,0.700038,0.083,6.88,29.jpg
0.620192,0.657066,0.081,6.86,30.jpg
0.302885,0.319784,0.035,7,31.jpg
0.634615,0.663027,0.081,6.83,32.jpg
0.317308,0.337995,0.038,6.96,33.jpg
0.403846,0.416701,0.045,6.94,34.jpg
0.923077,0.948682,0.116,6.56,35.jpg
0.649038,0.685348,0.087,6.85,36.jpg
0.692308,0.728882,0.096,6.81,37.jpg
0.605769,0.640445,0.077,6.86,38.jpg
0.447115,0.477798,0.063,6.92,39.jpg
0.5625,0.57933,0.07,6.9,40.jpg
0.331731,0.349497,0.038,7.07,41.jpg
0.201923,0.206847,0.025,7.13,42.jpg
0.594828,0.622404,0.071,6.84,43.jpg
0.827586,0.851272,0.108,6.8,44.jpg
0.931034,0.98311,0.114,6.58,45.jpg
0.956897,1.002151,0.119,6.56,46.jpg
1.086207,1.111559,0.132,6.47,47.jpg
0.310345,0.330365,0.037,7.04,48.jpg
0.646552,0.683136,0.085,6.86,49.jpg
0.543103,0.570891,0.067,6.89,50.jpg
1.991379,2.06094,0.245,6.14,51.jpg
0.646552,0.622915,0.078,6.94,52.jpg
0.646552,0.679637,0.084,6.81,53.jpg
0.491379,0.500824,0.055,6.99,54.jpg
0.439655,0.463181,0.053,6.96,55.jpg
0.517241,0.541187,0.063,6.9,56.jpg
0.206897,0.21059,0.025,7.16,57.jpg
0.336207,0.357594,0.04,7.04,58.jpg
0.775862,0.78557,0.104,6.84,59.jpg
0.387931,0.401998,0.046,7.01,60.jpg
0.556034,0.588249,0.073,6.85,61.jpg
0.142241,0.148744,0.016,7.21,62.jpg
0.517241,0.530526,0.067,6.88,63.jpg
0.724138,0.758414,0.089,6.78,64.jpg
0.284483,0.297708,0.035,7.1,65.jpg
0.853448,0.886102,0.112,6.68,66.jpg
0.50431,0.520262,0.065,6.95,67.jpg
0.271552,0.287243,0.032,7.03,68.jpg
1.034483,1.080245,0.13,6.5,69.jpg
0.827586,0.868123,0.111,6.62,70.jpg
1.2,1.259345,0.155,6.55,71.jpg
0.15,0.141298,0.019,7.26,72.jpg
0.78,0.813125,0.097,6.72,73.jpg
0.66,0.676482,0.083,6.83,74.jpg
0.48,0.506311,0.062,6.88,75.jpg
0.340288,0.355514,0.04,7,76.jpg
0.603702,0.629482,0.077,6.92,77.jpg
0.80858,0.849326,0.107,6.74,78.jpg
0.621598,0.660011,0.078,6.86,79.jpg
0.340288,0.329066,0.042,7.04,80.jpg
0.867117,0.901452,0.108,6.68,81.jpg
0.969556,1.006275,0.116,6.56,82.jpg
1.745166,1.781816,0.226,6.22,83.jpg
1.03558,1.049692,0.128,6.47,84.jpg
0.309998,0.325077,0.035,7.04,85.jpg
0.351859,0.366123,0.038,7.03,86.jpg
0.407673,0.434753,0.046,6.97,87.jpg
0.337905,0.354929,0.036,7.02,88.jpg
0.184417,0.191902,0.022,7.18,89.jpg
0.491394,0.519893,0.057,6.98,90.jpg
0.784417,0.800625,0.101,6.82,91.jpg
0.686742,0.712924,0.086,6.84,92.jpg
0.658835,0.678231,0.082,6.91,93.jpg
0.686742,0.720313,0.09,6.83,94.jpg
0.589068,0.606981,0.074,6.92,95.jpg
0.282091,0.297251,0.034,7.05,96.jpg
0.449533,0.476884,0.054,6.98,97.jpg
0.658835,0.685497,0.087,6.86,98.jpg
0.60926,0.646783,0.086,6.83,99.jpg
0.291953,0.306325,0.03,7.06,100.jpg
0.623683,0.64955,0.078,6.88,101.jpg
0.306376,0.294918,0.035,7.09,102.jpg
0.392914,0.412399,0.049,6.99,103.jpg
0.912145,0.94658,0.112,6.64,104.jpg
0.638106,0.617589,0.078,6.89,105.jpg
0.681376,0.725691,0.089,6.79,106.jpg
0.594837,0.605023,0.073,6.87,107.jpg
0.436183,0.456792,0.051,6.95,108.jpg
0.551568,0.562147,0.068,6.9,109.jpg
0.320799,0.341742,0.038,7.03,110.jpg
0.190991,0.198235,0.023,7.18,111.jpg
0.583896,0.612779,0.08,6.91,112.jpg
0.816654,0.782832,0.098,6.83,113.jpg
0.920102,0.944214,0.117,6.61,114.jpg
1.768141,1.737325,0.22,6.34,115.jpg
1.058555,1.094902,0.133,6.54,116.jpg
0.332973,0.35633,0.039,7.09,117.jpg
0.374834,0.37752,0.046,7,118.jpg
0.430648,0.452487,0.052,6.95,119.jpg
0.36088,0.379936,0.04,7.02,120.jpg
0.207392,0.212103,0.027,7.18,121.jpg
0.514369,0.530235,0.067,6.9,122.jpg
0.807392,0.846328,0.11,6.77,123.jpg
0.709717,0.672219,0.091,6.85,124.jpg
0.68181,0.716051,0.094,6.79,125.jpg
0.709717,0.682949,0.088,6.88,126.jpg
0.612043,0.625429,0.079,6.88,127.jpg
0.305066,0.317985,0.037,7.01,128.jpg
0.472508,0.510201,0.06,6.95,129.jpg
0.68181,0.704016,0.092,6.82,130.jpg
0.632235,0.65219,0.083,6.84,131.jpg
0.314928,0.332274,0.033,7.01,132.jpg
0.646658,0.675422,0.085,6.83,133.jpg
0.329351,0.343543,0.041,7.05,134.jpg
0.415889,0.448967,0.049,6.93,135.jpg
0.93512,0.979562,0.122,6.54,136.jpg
0.661081,0.699834,0.086,6.84,137.jpg
0.704351,0.727955,0.091,6.8,138.jpg
0.617812,0.637028,0.076,6.87,139.jpg
0.459158,0.465742,0.065,6.94,140.jpg
0.574543,0.592618,0.071,6.88,141.jpg
0.343774,0.354123,0.038,6.99,142.jpg
0.213966,0.230619,0.027,7.15,143.jpg
0.606871,0.634285,0.08,6.89,144.jpg
0.839629,0.874279,0.1,6.75,145.jpg
0.943077,0.966831,0.117,6.63,146.jpg
0.96894,1.01457,0.123,6.55,147.jpg
1.09825,1.126081,0.139,6.43,148.jpg
0.322388,0.338097,0.039,7.01,149.jpg
0.658595,0.67736,0.084,6.85,150.jpg
0.555146,0.578129,0.07,6.9,151.jpg
2.003422,1.976184,0.243,6.15,152.jpg
0.658595,0.619298,0.082,6.87,153.jpg
0.658595,0.642708,0.089,6.84,154.jpg
0.503422,0.495181,0.067,6.98,155.jpg
0.451698,0.479531,0.061,6.95,156.jpg
0.529284,0.555562,0.072,6.91,157.jpg
0.21894,0.228739,0.027,7.13,158.jpg
0.34825,0.375088,0.039,7.03,159.jpg
0.787905,0.801732,0.103,6.82,160.jpg
0.399974,0.425339,0.047,6.98,161.jpg
0.568077,0.560647,0.069,6.91,162.jpg
0.154284,0.15329,0.02,7.19,163.jpg
0.529284,0.570348,0.066,6.88,164.jpg
0.736181,0.760305,0.09,6.82,165.jpg
0.296526,0.310422,0.035,7,166.jpg
0.865491,0.874519,0.112,6.72,167.jpg
0.516353,0.533018,0.068,6.91,168.jpg
0.283595,0.298119,0.032,7.07,169.jpg
1.046526,1.088827,0.125,6.6,170.jpg
0.839629,0.810365,0.102,6.75,171.jpg
1.212043,1.260013,0.146,6.46,172.jpg
0.169532,0.176209,0.022,7.15,173.jpg
0.739843,0.751825,0.095,6.81,174.jpg
0.635379,0.668445,0.083,6.83,175.jpg
0.492043,0.510517,0.063,6.91,176.jpg
0.714482,0.742374,0.087,6.82,177.jpg
1.329116,1.370384,0.173,6.42,178.jpg
0.363263,0.395098,0.044,6.98,179.jpg
0.626677,0.591082,0.081,6.89,180.jpg
0.831555,0.846375,0.108,6.79,181.jpg
